Game,Year,Developer,Publisher,Film
Indiana Jones and the Temple of Doom,1985,Atari Games,Atari Games,Indiana Jones and the Temple of Doom
Indiana Jones' Greatest Adventures,1994,"Factor 5, LucasArts","JVC, LucasArts","Raiders of the Lost Ark, Indiana Jones and the Temple of Doom, and Indiana Jones and the Last Crusade"
Iron Man,2008,"Secret Level (X360, PS3)",Sega,Iron Man
Iron Man 2,2010,"Sega Studios San Francisco (Xbox 360, PlayStation 3, Nintendo DS)",Sega,Iron Man 2
Iron Man 3: The Official Game,2013,Gameloft,Gameloft,Iron Man 3
Iron Sky: Invasion,2012,Reality Pump,TopWare Interactive,Iron Sky
The Italian Job,2001,Pixelogic,PlayStation,The Italian Job (1969)
The Italian Job,2003,Climax Brighton,Eidos Interactive,The Italian Job (2003)
James Bond 007,1983,Parker Brothers,Parker Brothers,"Diamonds are Forever, The Spy Who Loved Me, Moonraker, and For Your Eyes Only"
James Bond 007: From Russia with Love,2005,EA Redwood Shores,Electronic Arts,From Russia with Love
James Bond 007: Goldfinger,1986,Angelsoft,Mindscape,James Bond film series
Jaws,1987,"Atlus, Westone Bit Entertainment (uncredited)[32]",LJN[33],Jaws: The Revenge
John Wick Hex,2019,Bithell Games,Good Shepherd Entertainment,John Wick franchise
Journey to the Center of the Earth,2008,Human Soft,THQ,Journey to the Center of the Earth
Judge Dredd,1995,Probe Software,Acclaim Entertainment,Judge Dredd
Griffin's Story,2008,"Redtribe (Xbox 360), Collision Studios (PS2, Wii)",Brash Entertainment,Jumper
The Jungle Book,1994,Eurocom,Virgin Interactive Entertainment,The Jungle Book
Jurassic Park,1994,Sega-AM3,Sega,Jurassic Park
Jurassic Park: The Game,2011,Telltale Games,Telltale Games,Jurassic Park
Jurassic Park III,2001,Konami,Konami,Jurassic Park III
Jurassic Park III: Danger Zone!,2001,Knowledge Adventure,Knowledge Adventure,Jurassic Park III
Jurassic Park III: Dino Defender,2001,Knowledge Adventure,Knowledge Adventure,Jurassic Park III
Jurassic Park III: Island Attack,2001,Mobile21,Konami,Jurassic Park III
Jurassic Park III: Park Builder,2001,Konami,Konami,Jurassic Park III
Jurassic Park III: The DNA Factor,2001,Konami Computer Entertainment Hawaii,Konami,Jurassic Park III
Jurassic Park Interactive,1994,Studio 3DO,Universal Interactive Studios,Jurassic Park
The Karate Kid,1987,Atlus[34],LJN[34],The Karate Kid and The Karate Kid Part II
King Arthur,2004,Krome Studios,Konami,King Arthur
Peter Jackson's King Kong,2005,Ubisoft Pictures,Ubisoft,King Kong
Kirikou,2001,Étranges Libellules (PS),Wanadoo,Kirikou and the Sorceress
Kick-Ass: The Game,2010,Frozen Codebase,Frozen Codebase (iOS),Kick-Ass
Kick-Ass 2: The Game,2014,Freedom Factory Studios,UIG Entertainment,Kick-Ass 2
Krull,1983,"Atari, Inc.","Atari, Inc.",Krull
Kung Fu Panda,2008,"Luxoflux (PlayStation 3, Xbox 360)",Activision,Kung Fu Panda
Kung Fu Panda 2,2011,Griptonite Games,THQ,Kung Fu Panda 2
Kung Fu Panda World,2010,,DreamWorks Animation,Kung Fu Panda franchise
Kung Fu Panda: Legendary Warriors,2008,Artificial Mind and Movement,Activision,Kung Fu Panda franchise
Kung Fu Panda: Showdown of Legendary Legends,2015,Vicious Cycle Software,Little Orbit,Kung Fu Panda franchise
Kung-Fu Master,1984,Irem (arcade),Irem (JPN arcade),Wheels on Meals
Labyrinth: The Computer Game,1986,Lucasfilm Games,Activision,Labyrinth
List of The Land Before Time video games,1997,,,The Land Before Time film franchise
Land of the Dead: Road to Fiddler's Green,2005,Brainbox Games,Groove Games,Land of the Dead
Last Action Hero,1993,NES:,Sony Imagesoft,Last Action Hero
The Last Airbender,2010,THQ Studio Australia (Wii),THQ,The Last Airbender
The Lawnmower Man,1992,The Sales Curve,SNES,The Lawnmower Man
The Owls of Ga'Hoole,2010,Krome Studios,Warner Bros. Interactive Entertainment,Legend of the Guardians: The Owls of Ga'Hoole
Lego The Hobbit,2014,Traveller's Tales,Warner Bros. Interactive Entertainment,An Unexpected Journey and The Desolation of Smaug
Lego Jurassic World,2015,TT Fusion,Warner Bros. Interactive Entertainment,Jurassic World
Lego Marvel's Avengers,2016,Traveller's Tales,Warner Bros. Interactive Entertainment,several Marvel Cinematic Universe films
Lego Star Wars: The Skywalker Saga,2022,Traveller's Tales,Warner Bros. Interactive Entertainment,Skywalker Saga films
The Lego Batman Movie Game,2017,The Lego Group,Warner Bros. Interactive Entertainment,The Lego Batman Movie
