name,year,developer,publisher,film,rank,platform,genre,na_sales,eu_sales,jp_sales,other_sales,global_sales
The Polar Express,2004,Blue Tongue Entertainment,THQ,The Polar Express,10289,GC,Adventure,0.08,0.02,0.0,0.0,0.11
The Punisher,2005,Volition,THQ,The Punisher,3865,PS2,Action,0.25,0.2,0.0,0.07,0.52
The Punisher,2005,Volition,THQ,The Punisher,6052,XB,Action,0.22,0.06,0.0,0.01,0.29
Puss in Boots,2011,Blitz Games,THQ,Puss in Boots,7063,X360,Action,0.2,0.02,0.0,0.02,0.23
Puss in Boots,2011,Blitz Games,THQ,Puss in Boots,7198,Wii,Action,0.19,0.01,0.0,0.01,0.22
Puss in Boots,2011,Blitz Games,THQ,Puss in Boots,10212,DS,Action,0.09,0.01,0.0,0.01,0.11
Puss in Boots,2011,Blitz Games,THQ,Puss in Boots,11187,PS3,Action,0.07,0.01,0.0,0.01,0.09
007: Quantum of Solace,2008,Treyarch[t],Activision,Casino Royale and Quantum of Solace,1275,X360,Action,0.82,0.52,0.01,0.14,1.49
007: Quantum of Solace,2008,Treyarch[t],Activision,Casino Royale and Quantum of Solace,1741,PS3,Action,0.43,0.52,0.02,0.2,1.16
007: Quantum of Solace,2008,Treyarch[t],Activision,Casino Royale and Quantum of Solace,3040,Wii,Action,0.3,0.29,0.01,0.07,0.67
007: Quantum of Solace,2008,Treyarch[t],Activision,Casino Royale and Quantum of Solace,4501,PS2,Action,0.17,0.0,0.0,0.26,0.43
007: Quantum of Solace,2008,Treyarch[t],Activision,Casino Royale and Quantum of Solace,9320,DS,Action,0.11,0.01,0.0,0.01,0.14
007: Quantum of Solace,2008,Treyarch[t],Activision,Casino Royale and Quantum of Solace,14550,PC,Action,0.01,0.01,0.0,0.0,0.03
Ratatouille,2007,"Asobo Studio (PS2, Wii, GCN, Xbox, PC, OS X)",THQ,Ratatouille,1580,DS,Action,0.5,0.62,0.0,0.14,1.26
Ratatouille,2007,"Asobo Studio (PS2, Wii, GCN, Xbox, PC, OS X)",THQ,Ratatouille,2447,PS2,Action,0.31,0.0,0.0,0.53,0.85
Ratatouille,2007,"Asobo Studio (PS2, Wii, GCN, Xbox, PC, OS X)",THQ,Ratatouille,3031,PSP,Action,0.22,0.28,0.0,0.16,0.67
