Game,Year,Developer,Publisher,Film
TheLordoftheRingsTheThirdAge,,EARedwoodShores,EAGames,LordoftheRingsfilmtrilogy
TheTwoTowers,,StormfrontStudios,EAGames,TheLordoftheRingsTheFellowshipoftheRingandTheLordoftheRingsTheTwoTowers
TheLordoftheRingsWarintheNorth,,SnowblindStudios,WarnerBrosInteractiveEntertainment,LordoftheRingsfilmtrilogy
JurassicPark,,SegaAM,Sega,TheLostWorldJurassicPark
MadMax,,Mindscape,Mindscape,MadMax
MadMax,,AvalancheStudios,WarnerBrosInteractiveEntertainment,MadMaxfranchise
Madagascar,,ToysforBobo,Activision,Madagascar
MadagascarKartz,,SidheInteractive,Activision,Madagascar
EscapeAfrica,,ToysforBob,Activision,MadagascarEscapeAfrica
MadagascarOperationPenguin,,VicariousVisions,Activision,Madagascar
TheHandsofFate,,FreakZone,FreakZone,ManosTheHandsofFate
TheMask,,BlackPearlSoftware,NABlackPearlSoftware,TheMask
MastersoftheUniverseTheMovie,,GremlinGraphics,GremlinGraphics,MastersoftheUniverse
MeettheRobinsons,,ClimaxGroupDSGBA,DisneyInteractiveStudios,MeettheRobinsons
Megamind,,THQStudioAustraliaXboxPSWii,THQ,Megamind
MeninBlackIIAlienEscape,,InfogramesMelbourneHousep,Infogrames,MeninBlackII
MeninBlackTheGame,,GigawattStudios,SouthPeakInteractiveNorthAmerica,MeninBlack
MiamiViceTheGame,,RebellionDevelopments,VivendiUniversalGamesq,MiamiVice
MIBAlienCrisis,,FunLabs,Activision,MeninBlack
MichaelJacksonsMoonwalker,,nan,nan,Moonwalker
MonstersInc,,VicariousVisionsGBC,THQGBCGBA,MonstersInc
TheMovie,,nan,nan,MightyMorphinPowerRangersTheMovie
MinorityReportEverybodyRuns,,Treyarch,Activision,MinorityReport
Impossible,,Infogrames,show,MissionImpossible
MonsterHouse,,ArtificialMindandMovement,THQ,MonsterHouse
MonstersvsAliens,,Beenox,Activision,MonstersvsAliens
MontyPythontheQuestfortheHolyGrail,,thLevel,thLevelPanasonicInteractiveMedia,MontyPythonandtheHolyGrail
MontyPythonsCowTossing,,LumaArcade,ZedGroup,MontyPythonandtheHolyGrail
MontyPythonsTheMeaningofLife,,thLevel,thLevelPanasonicInteractiveMedia,MontyPythonsTheMeaningofLife
TheMummyDemastered,,WayForwardTechnologies,WayForwardTechnologies,TheMummy
TomboftheDragonEmperor,,EurocomPlayStationandWii,VivendiGamesr,TheMummyTomboftheDragonEmperor
MuppetTreasureIsland,,nan,Activision,MuppetTreasureIsland
TheMuppetsMovieAdventures,,VirtualToys,SonyComputerEntertainment,TheMuppetsandMuppetsMostWanted
NachoLibre,,MajescoEntertainment,NickGames,NachoLibre
NapoleonDynamiteTheGame,,Studios,CraveEntertainment,NapoleonDynamite
NewYorkRace,,KalistoEntertainment,WanadooEdition,TheFifthElement
BattleoftheSmithsonian,,AmazeEntertainment,MajescoEntertainment,NightattheMuseumBattleoftheSmithsonian
